ID,Topic,Title,Description
SL-01,Identity,Credential lifecycle,"Demo control: credentials are issued, rotated, and revoked through a documented process. Initial secrets are changed on first use."
SL-02,Identity,Access approval,"Demo control: human access is granted only after an approval distinct from the requester. Changes are recorded."
SL-03,Identity,Joiner-mover-leaver,"Demo control: access is removed when people leave or change role. Stale accounts are reviewed on a schedule."
SL-04,Identity,Password policy,"Demo control: passwords have a documented minimum length and lockout after repeated failures. Reuse of recent passwords is blocked."
SL-05,Identity,Runtime authentication,"Demo control: applications authenticate the caller and check authorization when a session is established."
SL-06,Identity,Just-in-time privilege,"Demo control: standing admin rights are avoided. Elevated access is time-bounded and tied to a ticket or change."
SL-07,Identity,Break-glass access,"Demo control: emergency access is rare, dual-controlled, logged, and reviewed after use."
SL-08,Identity,Role definitions,"Demo control: roles are documented per asset with purpose and restrictions. Unused roles are retired."
SL-09,Vulnerability,Infrastructure scanning,"Demo control: hosts and images are scanned for known vulnerabilities. Findings are tracked to closure."
SL-10,Vulnerability,Web application scanning,"Demo control: internet-facing apps are scanned on a defined cadence. Gaps are recorded."
SL-11,Vulnerability,Penetration testing,"Demo control: periodic adversary-style tests exercise critical paths. Findings are remediated or accepted."
SL-12,Network,Traffic monitoring,"Demo control: network telemetry is collected, reviewed, and escalated when malicious patterns appear."
SL-13,Application,Secure development testing,"Demo control: source and dependencies are tested for common flaws before release."
SL-14,Detection,Security monitoring,"Demo control: attacks such as flooding, malware, and intrusion attempts are monitored and triaged."
SL-15,Detection,Insider-risk monitoring,"Demo control: unusual use of privileged access is reviewed. This is a demo statement, not a workplace program."
SL-16,Response,Incident response,"Demo control: there is a written process to contain, eradicate, and recover from security incidents."
SL-17,Intelligence,External threat watch,"Demo control: public threat reporting is reviewed and assigned an owner when relevant."
SL-18,Asset,Unauthorized device detection,"Demo control: unexpected devices on the network are flagged for investigation."
SL-19,Endpoint,Malware protection,"Demo control: endpoints run maintained malware protection. Failures are treated as incidents."
